measurement_id,depth_reading_time,water_temperature_50m,salinity_50m,oxygen_saturation_50m,perceived_water_density,sediment_deposition,seafloor_pressure,plankton_density,microplankton_density,mesoplankton_density,macroplankton_density,dissolved_gas_pressure,current_velocity_near_surface,current_velocity_deep,current_direction_near_surface,current_direction_deep,current_turbulence,sediment_temperature_0_to_10cm,sediment_temperature_10_to_30cm,sediment_temperature_30_to_100cm,sediment_temperature_100_to_250cm,sediment_porosity_0_to_10cm,sediment_porosity_10_to_30cm,sediment_porosity_30_to_100cm,sediment_porosity_100_to_250cm,blue_light_penetration,downwelling_light,scattered_light,perpendicular_light_intensity,thermal_emissions,is_photic_zone,photoperiod_intensity,chlorophyll_a_concentration (mg m-3),nitrate_concentration (µmol L-1),phosphate_concentration (µmol L-1),silicate_concentration (µmol L-1),total_alkalinity (µmol kg-1),dissolved_inorganic_carbon (µmol kg-1),pH,partial_pressure_CO2 (µatm),aragonite_saturation_state,sea_surface_height_anomaly (cm),significant_wave_height (m),bottom_current_shear_stress (Pa),sound_speed_water (m s-1),acoustic_backscatter_intensity (dB),turbidity (NTU),light_attenuation_coefficient_Kd (m⁻¹),bioluminescence_intensity (photons cm-2 s-1),Brunt_Vaisala_frequency_squared (s-2),mixed_layer_depth (m),hydrostatic_pressure
16356,2023-11-13 11:00:00,304.04999999999995,21.7,"22,6","36,7",,,39.0,,4.0,100.0,"1,72",,6.15,208.0,203.0,"20,5",,,300.04999999999995,,"0,199","0,122",,,807.0,628.0,179.0,"656,3","1336,3",1.0,,,,0.38667862198568653,4.619032750206104,2203.982992269653,1974.8428227729744,7.917100690658741,,2.2482595830312926,-6.966324537186027,0.40115375242543716,0.015066586088317799,1504.1380192685965,-66.76781033596167,2.9529150840733456,0.3848199630448737,2538.26120894067,7.572728523717389e-05,,1.0126
19332,,,20.2,"22,2","33,1",0.1,0.9883,33.0,20.0,10.0,29.0,"1,4",14.325,18.975,274.0,275.0,36,301.54999999999995,298.54999999999995,,299.25,"0,29","0,312",,"0,312",869.0,727.0,142.0,"776,6",,,,,4.530705460809974,,4.949268692325653,2231.3778713313077,1986.476104730805,7.900790539740124,461.01126551537976,,,1.4815494983342954,0.007174257545436645,1491.3188424081943,-63.13906401743276,7.009666565470515,0.8623208896906126,3134.1331257022725,4.2717984150590555e-05,13.230404022235799,1.012
6357,2022-09-22 20:00:00,297.25,12.400000000000002,,29,"0,1",0.9879,98.0,57.0,46.0,64.0,"0,24",2.55,5.4,,108.0,"6,1",297.95,298.75,298.15,298.04999999999995,"0,313","0,286","0,238","0,255",0.0,,0.0,,0,,0.0,0.01,5.9985366153647135,,6.243541459175702,2207.928521574963,2089.347776014232,8.132553985577719,402.12061404727496,2.892472324499844,-13.95375349320946,0.1,0.013852268814246648,1488.0675012306758,-84.91554495148084,0.8658686298389631,0.1465613019587277,21936.46596937367,0.0001860700181900252,93.9196116911915,1.012
15781,,,25.6,,"36,4",,0.9886,11.0,,,0.0,"2,51",,9.45,178.0,175.0,"28,1",308.04999999999995,301.35,300.25,298.65,"0,075",,,"0,217",899.0,,171.0,"731,1","1373,7",1.0,60.0,0.03452665265363131,6.7841055303728455,,6.963357156987621,2216.030586344851,,,,,-2.0110399317939844,0.1,0.009846938271483217,1507.7747668289314,,1.6032026377775552,0.18437594594663523,681.7096437694286,3.8989956641613116e-05,86.37181747765061,1.012
17022,2023-12-11 05:00:00,296.75,13.6,"21,5","27,8",,0.9862,92.0,89.0,,30.0,"0,34",2.475,3.225,,246.0,"4,7",296.54999999999995,,299.15,299.25,"0,281","0,273","0,22","0,207",0.0,0.0,0.0,0,0,0.0,0.0,2.7094400169950483,4.07873545711549,0.27006828925688653,4.338133841324028,2187.217522037271,2067.652945323197,8.030787110125067,422.5588834497178,2.688659830315065,1.1676945891905444,0.6753838558167393,0.009418597776322262,1500.014574078696,-59.25857927070478,4.5891839651816415,0.6223301244047377,346225.83815534884,3.170067558440714e-05,,1.0103
21851,2024-06-29 10:00:00,301.04999999999995,15.1,"24,7","34,1",0.0,,8.0,,10.0,0.0,"0,66",4.35,4.949999999999999,176.0,167.0,,301.35,298.54999999999995,298.85,299.25,"0,238",,,"0,272",,,101.0,"739,1","938,2",1.0,,0.01,5.880158177821574,0.41028992294152533,5.646086503678039,2192.057223073651,2012.8736850097214,8.013308720952645,425.66673309596223,2.4441585313924605,11.54413384121142,0.36604329467777064,0.02284874106524462,1495.6469270332807,-82.56640551986781,0.8118344435907958,0.1256186527298983,5.35406522200656,0.0002042339596306774,53.24517750025891,1.0132
11891,2023-05-11 10:00:00,302.15,16.0,"25,1","35,7",,0.9891,,18.0,,6.0,"0,81",4.199999999999999,5.25,135.0,125.0,,301.95,298.95,,298.54999999999995,"0,256",,"0,235","0,281",657.0,538.0,119.0,,"1024,6",1.0,60.0,1.5133410245937575,5.03327451235091,0.32547788155085466,5.012484783628046,2153.8785037359653,2008.5421225214482,7.837135978392968,458.69693792701344,2.074065515148119,4.97728053632622,1.8402608257150224,0.010244632973182692,1511.0021779101141,,2.847491827201545,,56.28242961763306,4.3287328413236575e-05,24.644727448717433,1.0128
21611,2024-06-19 10:00:00,300.04999999999995,17.8,"21,9","31,3",0.0,0.9888,,32.0,0.0,0.0,"0,91",6.449999999999999,7.875,165.0,164.0,"21,6",300.15,,299.25,299.25,,"0,17","0,201","0,278",681.0,585.0,96.0,"822,1","942,7",1.0,60.0,,5.727452145516388,0.33659140099074186,6.160062861782697,2184.3744202934654,2019.1011873229797,,407.41795937870785,2.8744764879607,2.3645171845214548,0.9668255786444602,0.003191410222998461,1493.066168843615,,,0.29908971915332805,,2.8648100536098117e-05,38.94250373032327,1.0127000000000002
14092,2023-08-11 03:00:00,291.25,14.2,,"19,3",0,0.9907,14.0,6.0,,30.0,"0,29",4.275,4.275,18.0,35.0,,292.95,297.25,297.75,297.95,"0,083","0,126","0,196","0,242",0.0,0.0,0.0,,0,0.0,0.0,0.01,7.322530876462401,0.4478012572973982,6.668176412446817,2227.9845184286987,2150.9899777226706,8.3,369.70777043292156,3.102169536905833,0.12113575414253974,0.13980687752301665,0.058445635976069506,1509.6496642622346,-83.8717514767162,2.0964249002812902,0.1660268795952347,1575.220887106089,0.00010353099873722379,66.58244829272411,1.0153
1594,2022-03-08 09:00:00,,13.6,"23,7","30,8",0,0.9865,,37.0,,28.0,,,,232.0,,18,,297.35,298.25,,"0,296","0,315","0,309","0,293",491.0,324.0,167.0,"501,3",898,1.0,,3.316241927045745,3.9542007488602207,0.2787263283893409,4.811031335447683,2201.8450914383047,,,,,2.843404789722917,2.129802936205517,0.013137310637062088,,-64.28064435439742,5.482362447555177,,1156.6032417226909,0.00013015183165961808,10.0,1.0104
